recv_ts_utc,exch_ts_ms,inst_id,side,pos_side,sz,bk_px,raw_json
2026-09-01T00:16:51.636144Z,1788221810465,PUMP-USDT-SWAP,buy,short,263,0.004646,"{""bkLoss"":""0"",""bkPx"":""0.004646"",""ccy"":"""",""posSide"":""short"",""side"":""buy"",""sz"":""263"",""ts"":""1788221810465""}"
2026-09-01T00:16:54.009357Z,1788221812438,0G-USDT-SWAP,buy,short,108,0.2286,"{""bkLoss"":""0"",""bkPx"":""0.2286"",""ccy"":"""",""posSide"":""short"",""side"":""buy"",""sz"":""108"",""ts"":""1788221812438""}"
2026-09-01T00:16:58.005206Z,1788221816758,OP-USDT-SWAP,buy,short,1373,0.0948,"{""bkLoss"":""0"",""bkPx"":""0.0948"",""ccy"":"""",""posSide"":""short"",""side"":""buy"",""sz"":""1373"",""ts"":""1788221816758""}"
2026-09-01T00:17:03.241374Z,1788221822412,UNI-USDT-SWAP,buy,short,278,5.348,"{""bkLoss"":""0"",""bkPx"":""5.348"",""ccy"":"""",""posSide"":""short"",""side"":""buy"",""sz"":""278"",""ts"":""1788221822412""}"
2026-09-01T00:17:03.607765Z,1788221822621,PUMP-USDT-SWAP,buy,short,118,0.004652,"{""bkLoss"":""0"",""bkPx"":""0.004652"",""ccy"":"""",""posSide"":""short"",""side"":""buy"",""sz"":""118"",""ts"":""1788221822621""}"
2026-09-01T00:17:05.618475Z,1788221824521,WLD-USDT-SWAP,buy,short,202,0.368,"{""bkLoss"":""0"",""bkPx"":""0.368"",""ccy"":"""",""posSide"":""short"",""side"":""buy"",""sz"":""202"",""ts"":""1788221824521""}"
2026-09-01T00:17:09.519013Z,1788221828530,0G-USDT-SWAP,buy,short,1206,0.232,"{""bkLoss"":""0"",""bkPx"":""0.232"",""ccy"":"""",""posSide"":""short"",""side"":""buy"",""sz"":""1206"",""ts"":""1788221828530""}"
2026-09-01T00:17:11.321011Z,1788221829911,FOGO-USDT-SWAP,buy,short,269,0.007356,"{""bkLoss"":""0"",""bkPx"":""0.007356"",""ccy"":"""",""posSide"":""short"",""side"":""buy"",""sz"":""269"",""ts"":""1788221829911""}"
2026-09-01T00:17:11.326860Z,1788221829911,BONK-USDT-SWAP,buy,short,252,0.000003021,"{""bkLoss"":""0"",""bkPx"":""0.000003021"",""ccy"":"""",""posSide"":""short"",""side"":""buy"",""sz"":""252"",""ts"":""1788221829911""}"
2026-09-01T00:17:11.334071Z,1788221829911,SUI-USDT-SWAP,buy,short,228,0.7311,"{""bkLoss"":""0"",""bkPx"":""0.7311"",""ccy"":"""",""posSide"":""short"",""side"":""buy"",""sz"":""228"",""ts"":""1788221829911""}"
2026-09-01T00:17:11.336844Z,1788221829911,HOME-USDT-SWAP,buy,short,70,0.006094,"{""bkLoss"":""0"",""bkPx"":""0.006094"",""ccy"":"""",""posSide"":""short"",""side"":""buy"",""sz"":""70"",""ts"":""1788221829911""}"
